산업군,고객사,제품구분,재고품질상태,상태사유,사업장,제품군,창고코드,LOT NO,품번,Item desc,제품명,수량,중량,단위,거래처,부동개월,폭,두께,높이,재고생성일,창고입고일,창고경과일
구동,,반제품,합격,,천안,MT,404,HSM1PR41220520013,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,21,350.08,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-20,2022-05-20,05
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521001,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-20,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521002,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-20,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521003,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,12,200.05,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-20,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521004,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,24,400.09,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-21,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521006,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-21,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521007,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,5,83.35,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-21,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521008,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,28,466.78,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-21,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220521009,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-21,2022-05-21,04
구동,,반제품,합격,,천안,MT,404,HSM1PR41220523003,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,23,383.42,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-22,2022-05-23,02
구동,,반제품,합격,,천안,MT,404,HSM1PR41220523004,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,13,216.72,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-23,2022-05-23,02
구동,,반제품,합격,,천안,MT,404,HSM1PR41220523011,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,35,583.47,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-23,2022-05-23,02
구동,,반제품,합격,,천안,MT,404,HSM1PR41220523012,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,3,50.01,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-23,2022-05-23,02
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524001,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,1,16.67,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-23,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524002,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,6,100.02,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-23,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524003,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,18,300.07,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524004,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,9,150.04,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524005,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524006,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524007,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,19,316.74,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220524009,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,17,283.4,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525001,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525002,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,9,150.04,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-24,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525003,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,27,450.11,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525004,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525005,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,25,416.76,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525006,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,11,183.38,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1PR41220525007,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,36,600.14,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,D05,HSM1PR41220518013,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,11,183.38,EA,4795:Y&W모티브,0,200,0.27,173.88,2022-05-18,2022-05-23,02
구동,,반제품,,,천안,MT,D11,HSM1PR43220117015,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,1,16.67,EA,4795:Y&W모티브,4,200,0.27,173.88,2022-01-16,2022-02-18,96
구동,,반제품,,,천안,MT,D11,HSM1PR43220118017,HPSM020028,MT_200*173.88_(OS-EV)_Stator_27PNX1350F_[자]_[정]_[P],MT_200*173.88_(OS-EV)_Stator_27PNX1350F,4,66.68,EA,4795:Y&W모티브,4,200,0.27,173.88,2022-01-17,2022-02-18,96
구동,,반제품,,,천안,MT,374,HSM1PR45220126002,HPSM023901,MT_239*148_(CV e-GT 후륜)_Stator_25PNX1250F_[자]_[정]_[P],MT_239*148_(CV e-GT 후륜)_Stator_25PNX1250F,1,17.44,EA,1232:모비스,4,239,0.25,148,2022-01-25,2022-02-24,90
구동,,반제품,,,천안,MT,371,HSM1PR41210808019,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,9,244,0.25,158,2021-08-07,2021-08-20,278
구동,,반제품,합격,,천안,MT,404,HSM1PR43220405013,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,2,37.57,EA,1232:모비스,1,244,0.25,158,2022-04-05,2022-04-05,50
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220507001,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-06,2022-05-07,18
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220507002,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-06,2022-05-07,18
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220508002,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-07,2022-05-08,17
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220508003,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-07,2022-05-08,17
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220508004,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-07,2022-05-08,17
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220508005,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-07,2022-05-08,17
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220508006,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,7,131.5,EA,1232:모비스,0,244,0.25,158,2022-05-07,2022-05-08,17
구동,,반제품,합격,,천안,MT,404,HSM1PR43220508007,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,2,37.57,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-08,17
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509001,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,4,75.14,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509002,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,11,206.64,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509003,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509004,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509005,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509006,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,3,56.36,EA,1232:모비스,0,244,0.25,158,2022-05-08,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509007,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,3,56.36,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220509012,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,11,206.64,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220509013,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,7,131.5,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220509014,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220509015,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220509016,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-09,2022-05-09,16
구동,,반제품,합격,,천안,MT,404,HSM1PR43220511004,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-11,2022-05-11,14
구동,,반제품,합격,,천안,MT,404,HSM1PR43220511005,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,8,150.29,EA,1232:모비스,0,244,0.25,158,2022-05-11,2022-05-11,14
구동,,반제품,합격,,천안,MT,404,HSM1PR43220512001,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,4,75.14,EA,1232:모비스,0,244,0.25,158,2022-05-11,2022-05-12,13
구동,,반제품,합격,,천안,MT,404,HSM1PR43220512002,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-11,2022-05-12,13
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220515007,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220515008,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220515009,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220515010,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220515011,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,9,169.07,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515012,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,9,169.07,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515013,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515014,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515015,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515017,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220515018,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,8,150.29,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-15,10
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516001,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,10,187.86,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516002,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516003,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516004,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516005,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516006,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,,천안,MT,404,HSM1PR43220516007,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,3,56.36,EA,1232:모비스,0,244,0.25,158,2022-05-15,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516008,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,15,281.79,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516009,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516010,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516011,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516012,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516013,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,포장미완료,천안,MT,404,HSM1PR43220516014,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,1,18.79,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516015,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,17,319.36,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516016,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516017,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516018,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516019,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,18,338.15,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516020,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,6,112.72,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220516021,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,1,18.79,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-16,09
구동,,반제품,합격,대차부족,천안,MT,404,HSM1PR43220517001,HPSM024401,MT_244*158_(RG3-EV)_Stator_25PNX1250F_[자]_[정]_[P],MT_244*158_(RG3-EV)_Stator_25PNX1250F,17,319.36,EA,1232:모비스,0,244,0.25,158,2022-05-16,2022-05-17,08
